Wie wir morgen leben, entscheidet sich hier und jetzt.	Wie unser Leben in Zukunft ist, entscheiden wir jetzt.
Wir sehen gerade.	Im Moment sehen wir
	
solidarische Gesellschaft	Gesellschaft für alle
gut funktionierender Staat	Staat, der gut helfen kann
öffentliche Investitionen in Infrastruktur	Geld für die öffentliche Infrastruktur
Wissenschaft und Forschung	Wissenschaft und Forschung
kraftvolle Wirtschaft	starke Wirtschaft
starkes, souveränes Europa	starkes Europa
zukunftsfähige Arbeitsplätze	Arbeits-Plätze für die Zukunft
der Kampf gegen den Klimawandel	Kampf gegen den Klima-Wandel
lebenswerte Zukunft	lebenswerte Zukunft
Gesellschaft des Respekts 	Gesellschaft, in der alle gut miteinander leben
souveränes Europa in der Welt	starkes Europa in der Welt
Das ist unser Angebot, das Zukunftsprogramm.	Wir wollen diese Dinge erreichen. Oder noch besser machen. Dafür haben wir unser Wahl-Programm geschrieben. Es hat den Namen Zukunfts-Programm.
Olaf Scholz wird mit einer Zukunftsregierung unser Land nach vorne bringen. Mit einer Regierung, die sich etwas vornimmt.	Olaf Scholz will in den nächsten Jahren die Regierung von Deutschland leiten. Er will als Bundes-Kanzler der Chef von der Regierung sein. Und viele Dinge aus dem Zukunfts-Programm umsetzen.
Wir überschreiten gerade die Schwelle zu einer neuen Zeit – nicht nur wegen der Erfahrungen und Folgen der Pandemie.	Für uns beginnt gerade eine neue Zeit. Der Grund dafür ist nicht nur die Corona-Pandemie.
Pandemie	Diese Krankheit gibt es in fast allen Ländern auf der Welt.
Mit dem dringend notwendigen Klimaschutz verändert sich unsere Energieversorgung, wie wir produzieren und konsumieren. 	Auch der Klima-Schutz wird unser Leben stark verändern. Es wird sich Dinge ändern, wie zum Beispiel, wie wir unsere Energie herstellen, wie wir Waren herstellen, wie wir Waren benutzen.
Unsere Kinder und Enkel sollen noch eine Welt haben, in der sie leben können	Auch unsere Kinder und Enkel sollen später ein gutes Leben haben. Und ihr eigenes Geld verdienen können. Sie sollen auch friedlich mit anderen Menschen zusammen leben können. Und sie sollen gesund leben können.
